meelde;Adva;meel;S;sg.ill.
selga;Adva;selg;S;sg.ill.
meeles;Adva;meel;S;sg.in.
käes;Adva;käsi;S;sg.in.
pähe;Adva;pea;S;sg.ill.
korda;Adva;kord;S;sg.ill.
terveks;Adva;terve;A;sg.tr.
meelest;Adva;meel;S;sg.el.
otsast;Adva;ots;S;sg.el.
kohale;Adva;koht;S;sg.all.
käest;Adva;käsi;S;sg.el.
puhtaks;Adva;puhas;A;sg.tr.
seljas;Adva;selg;S;sg.in.
mehele;Adva;mees;S;sg.all.
karjas;Adva;kari;S;sg.in.
kosjas;Adva;kosi;S;sg.in.
niide;Adva;niis;S;sg.ill.
paari;Adva;paar;S;sg.ill.
põhja;Adva;põhi;S;sg.ill.
käsi;Adva;käsi;S;sg.ill.
liugu;Adva;liug;S;sg.part.
lugu;Adva;lugu;S;sg.part.
peas;Adva;pea;S;sg.in.
soola;Adva;sool;S;sg.ill.
suitsu;Adva;suits;S;sg.part.
suureks;Adva;suur;A;sg.tr.
töösse;Adva;töö;S;sg.ill.
vahet;Adva;vahe;S;sg.part.
abiks;Adva;abi;S;sg.tr
ahju;Adva;ahi;S;sg.ill.
aru+ki;Adva;aru;S;sg.part.
haigeks;Adva;haige;A;sg.tr.
hapuks;Adva;hapu;A;sg.tr.
häda;Adva;häda;S;sg.part.
jalas;Adva;jalg;S;sg.in.
kurjaks;Adva;kuri;A;sg.tr
kuumaks;Adva;kuum;A;sg.tr
leeris;Adva;leer;S;sg.in.
linna;Adva;linn;S;sg.gen.
linu;Adva;lina;S;pl.part
maas;Adva;maa;S;sg.in.
meeles+ki;Adva;meel;S;sg.in.
nalja;Adva;nali;S;sg.part
peast;Adva;pea;S;sg.el.
riidesse;Adva;riie;S;sg.ill.
ritta;Adva;rida;S;sg.ill.
seemneks;Adva;seeme;S;sg.tr.
seljast;Adva;selg;S;sg.el.
silma;Adva;silm;S;sg.ill.
teed;Adva;tee;S;sg.part.
tööd;Adva;töö;S;sg.part.
vahis;Adva;vaht;S;sg.nom.
varjul;Adva;vari;S;sg.ad.
viga;Adva;viga;S;sg.part
väheks;Adva;vähe;A;sg.tr.
ärge;Adva;ära;Mn;imp.pl.2
ahjust;Adva;ahi;S;sg.el.
armu;Adva;arm;S;sg.part.
ellu;Adva;elu;S;sg.ill.
halvaks;Adva;halb;A;sg.tr.
heinal;Adva;hein;S;sg.ad.
hädas;Adva;häda;S;sg.in.
jalast;Adva;jalg;S;sg.el.
jutt;Adva;jutt;S;sg.nom.
juttu;Adva;jutt;S;sg.part.
juua;Adva;jooma;V;inf.
kaela;Adva;kael;S;sg.ill.
kangeks;Adva;kange;A;sg.tr.
kepsu;Adva;keps;S;sg.part.
kohta;Adva;koht;S;sg.part.
kohut;Adva;kohus;S;sg.part.
korras;Adva;kord;S;sg.in.
korrast;Adva;kord;S;sg.el.
kurja;Adva;kuri;A;sg.part.
kursis;Adva;kurss;S;sg.in.
käe;Adva;käsi;S;sg.in.
lõunat;Adva;lõuna;S;sg.part.
meelde+ki;Adva;meel;S;sg.ill.
meele;Adva;meel;S;sg.ill.
metsa;Adva;mets;S;sg.ill.
mäele;Adva;mägi;S;sg.all.
nälga;Adva;nälga;S;sg.ill.
näppu;Adva;näpp;S;sg.ill.
osa;Adva;osa;S;sg.part.
pahaks;Adva;paha;A;sg.tr.
palama;Adva;põlema;V;sup.
paljaks;Adva;paljas;A;sg.tr.
parajaks;Adva;paras;A;sg.tr.
pehmemaks;Adva;pehme;A;sg.tr.cmp.
pildi;Adva;pilt;S;sg.gen.
põldu;Adva;põld;S;sg.part.
reas;Adva;rida;S;sg.in.
reht;Adva;rehi;S;sg.part.
rehte;Adva;rehi;S;sg.part.
riita;Adva;riit;S;sg.ill.
rõukku;Adva;rõuk;S;sg.ill.
sakiliseks;Adva;sakiline;A;sg.tr.
seebiks;Adva;seep;S;sg.tr.
surnuks;Adva;surnud;A;sg.tr.
sõlme;Adva;sõlm;S;sg.ill.
sõrme;Adva;sõrm;S;sg.ill.
süüa;Adva;sööma;V;inf.
tegu;Adva;tegu;S;sg.part.
teravaks;Adva;terav;A;sg.tr.
tulema;Adva;tulema;V;sup.
täppi;Adva;täpp;S;sg.ill.
tööl;Adva;töö;S;sg.ad.
tüki;Adva;tükk;S;sg.gen.
tükkideks;Adva;tükk;S;pl.tr.
valmiks;Adva;valmis;A;sg.tr.
vanaks;Adva;vana;A;sg.tr.
varju;Adva;vari;S;sg.ill.
vihaseks;Adva;vihane;A;sg.tr.
viimas;Adva;viima;V;sup.
vilja;Adva;vili;S;sg.part.
võitu;Adva;võit;S;sg.part.
vööle;Adva;vöö;S;sg.all.
ia;Konj;hea;A;sg.nom.
