Parish_id;ei_ole;pole;sui;suvi;suurem;suuremb;Dialect_en
Amb;43;10;0;7;5;0;Mid
Ans;23;22;1;1;1;0;Insular
Avi;45;3;0;9;1;1;Eastern
Emm;8;80;0;3;3;0;Insular
Har;55;0;0;5;0;4;Võru
Hlj;38;2;0;10;0;3;Coastal
Hää;25;9;1;0;2;0;Western
Iis;39;6;0;2;1;6;Northeastern
ISe;21;0;0;8;0;1;Setu
Juu;2;4;2;0;2;0;Mid
Jõe;69;3;1;13;3;7;Coastal
Jõh;66;2;0;11;0;7;Northeastern
Jäm;12;59;1;1;4;0;Insular
Kei;34;18;4;1;1;0;Mid
Khk;30;53;2;0;1;0;Insular
Khn;2;4;10;1;1;0;Insular
Kod;73;4;0;2;2;0;Eastern
Krk;79;0;0;5;0;1;Mulgi
Krl;31;0;0;4;0;3;Võru
Kul;29;45;8;0;5;0;Western
Kuu;72;1;0;11;1;2;Coastal
Käi;19;36;1;1;3;0;Insular
LSe;35;0;0;11;0;3;Setu
Lüg;110;1;0;5;0;4;Northeastern
Mih;26;9;8;0;3;0;Western
Muh;41;56;14;1;1;0;Insular
Nõo;57;0;0;4;0;2;Tartu
Ote;29;0;0;10;0;3;Tartu
Pal;90;25;0;7;1;0;Eastern
Pee;41;17;2;0;3;0;Mid
Phl;17;23;0;2;1;0;Insular
Pil;31;40;1;0;3;0;Mid
Plt;32;4;2;10;15;0;Mid
Plv;85;0;0;12;0;7;Võru
Pst;110;0;0;3;1;1;Mulgi
Rei;1;18;4;0;6;0;Insular
Rid;51;46;1;0;1;0;Western
Rõn;47;0;0;4;0;3;Tartu
Rõu;10;0;0;6;0;2;Võru
Trm;52;24;0;6;1;0;Eastern
Trv;130;1;0;11;0;2;Mulgi
Vai;9;0;0;4;0;11;Northeastern
Vas;39;0;0;7;0;3;Võru
VNg;56;1;1;6;0;10;Coastal
Võn;82;0;0;4;0;1;Tartu
Vän;20;6;0;9;4;0;Western
Äks;39;2;0;6;3;0;Mid
Räp;58;0;0;0;0;2;Võru
Urv;10;0;0;0;0;1;Võru
PSe;20;1;0;0;0;1;Setu
Mar;0;0;14;2;14;0;Western
VJg;0;0;0;11;3;1;Mid
Var;0;0;5;1;1;0;Western
HMd;25;35;0;4;5;0;Mid
Krj;0;0;0;3;1;0;Insular
Mus;0;0;1;7;2;0;Insular
Pha;0;0;2;2;4;0;Insular
SJn;0;0;1;3;5;0;Mid
Mär;0;0;1;0;3;0;Western
Kam;20;0;0;7;0;0;Tartu
Pöi;0;0;7;0;0;0;Insular
Tõs;57;34;3;1;0;0;Western
PJg;0;0;8;0;0;0;Western
Hls;0;0;0;3;0;0;Mulgi
Hel;20;0;0;0;0;0;Mulgi
Koe;0;0;0;2;0;0;Mid
Kos;0;0;0;0;2;0;Mid
Tor;0;0;0;0;6;0;Western
VMr;0;0;0;0;0;1;Mid
