Parish_id;Freq
Amb;13853
Ans;11706
Avi;8402
Emm;11252
Har;17027
Hel;5965
Hlj;10418
Hls;4454
HMd;20315
Hää;9695
Iis;9676
ISe;19992
Jaa;1706
Juu;9880
Jõe;20007
Jõh;16595
Jäm;15638
Kam;7012
Kei;13663
Khk;23007
Khn;17875
Kir;1292
Kod;12542
Kos;10291
Krj;4225
Krk;15568
Krl;18712
Kul;42863
Kuu;15821
Käi;23058
LSe;18635
Lüg;16958
Mar;27756
Mih;16386
Muh;20107
Mus;20167
Mär;4073
Nõo;19018
Ote;9616
Pal;16175
Pee;11191
Pha;14092
Phl;15010
Pil;15210
PJg;6145
Plt;25319
Plv;24351
PSe;18577
Pst;18702
Pöi;7714
Rei;9885
Rid;11693
Rõn;13967
Rõu;11588
Räp;7403
SJn;9819
Tor;5596
Trm;11328
Trv;19206
Tõs;33898
Urv;1360
Vai;12133
Var;13409
Vas;14651
VJg;6202
Vll;1613
VMr;3180
VNg;9355
Võn;14225
Vän;17567
Äks;7357
